site,date,basin,Speckled Madtom,Sailfin Molly,Blue Crab,Atlantic Croaker,Gulf Menhaden,Grass Shrimp,Striped Mullet,Inland Silverside,Sheepshead Minnow,Gulf Killifish,Freshwater Goby,Mosquito Fish,White Shrimp,Bay Anchovy,Southern Flounder,Diamond Killifish,Naked Goby,Brown Shrimp,Sand Seatrout,Pinfish,Striped Anchovy,Skilletfish,Spot,Atlantic Spadefish,Ladyfish,Red Drum,Hogchoker,Silver Perch,Southern Kingfish,Spotted Seatrout,Threadfin Shad,Scaled Sardine,White Mullet,Butterfish,Gizzard Shad,Sea Catfish,Leatherjacket,Shrimp Eel,Gulf Kingfish,Furrowed Mud Crab,Lesser Rock Shrimp,Bayou Killifish,Rainwater Killifish,Atlantic Stingray,Inshore Lizardfish,Silver Jenny,Florida Stone Crab,Black Drum,Rough Silverside,Atlantic Needlefish,Gray Snapper,American Eel,Sheepshead,Gafftopsail Catfish,Skilletfish Spp.,Least Puffer,Spanish Mackerel,Crevalle Jack,Smooth Puffer
15,2007-01-10,Calcasieu,2,1,10,47,5,134,2,50,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-02-22,Calcasieu,0,0,0,17,3509,40,18,15,0,1,0,1,1,273,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-03-02,Calcasieu,0,0,19,223,38,137,17,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-04-11,Calcasieu,0,2,23,21,6,813,3,0,0,0,0,0,0,9,0,0,0,275,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-06-05,Calcasieu,0,0,0,3,0,11,0,105,0,2,0,0,106,35,1,0,0,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-07-24,Calcasieu,0,0,3,0,11,17,1,295,0,0,0,0,80,147,0,0,0,15,0,1,5,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-08-07,Calcasieu,0,0,6,0,1,28,0,9,0,0,0,0,81,79,0,0,0,25,5,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-09-20,Calcasieu,0,0,0,0,0,0,3,4,0,0,0,0,58,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-09-27,Calcasieu,0,0,0,0,0,0,0,58,0,0,0,0,134,197,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-10-03,Calcasieu,0,0,0,1,0,0,4,23,0,0,0,0,19,173,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-10-09,Calcasieu,0,0,1,1,0,0,0,31,0,0,0,0,885,266,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-11-09,Calcasieu,0,0,3,5,0,2,0,3,0,0,0,0,1122,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-11-20,Calcasieu,0,0,4,0,0,5,0,56,0,0,0,0,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-12-10,Calcasieu,0,1,6,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007-12-12,Calcasieu,0,0,0,4,0,16,0,0,0,0,0,1,13,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-01-10,Calcasieu,6,0,0,2,3,155,0,46,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-02-22,Calcasieu,5,0,0,7,0,247,0,76,1,2,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-03-02,Calcasieu,10,0,3,9,19,147,39,39,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-04-11,Calcasieu,0,0,2,9,16,27,0,8,0,0,0,0,0,1,0,0,0,84,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-06-05,Calcasieu,0,0,1,0,0,329,2,32,0,0,0,0,3934,19,0,0,0,122,0,2,0,0,0,0,0,0,0,7,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-07-24,Calcasieu,0,0,0,0,4,3,0,271,0,0,0,0,86,154,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-08-07,Calcasieu,0,0,0,0,2,0,4,99,0,0,0,0,6,56,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-09-20,Calcasieu,0,0,0,0,0,0,0,7,0,0,0,0,114,63,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-09-27,Calcasieu,0,0,0,7,0,0,2,1,0,0,0,0,239,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-10-03,Calcasieu,0,0,1,5,0,3,1,4,0,0,0,0,529,35,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-10-09,Calcasieu,0,0,0,0,0,0,0,0,0,0,0,0,2536,0,0,0,0,4,0,0,0,0,1,0,0,5,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-11-09,Calcasieu,0,0,2,2,0,117,0,3,0,0,0,0,628,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-11-20,Calcasieu,0,0,0,0,0,79,0,106,0,0,0,0,64,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-12-10,Calcasieu,37,0,1,1,0,560,0,53,0,3,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007-12-12,Calcasieu,10,0,3,2,0,317,0,161,0,2,0,0,4,3,0,1,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2007-01-18,Calcasieu,0,0,1,26,98,306,133,115,0,0,0,0,0,262,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
