species,basin,date,num,seines
Bay Anchovy,Barataria,2007-01-01,271,5
Bay Anchovy,Barataria,2007-02-01,10,7
Bay Anchovy,Barataria,2007-03-01,37,8
Bay Anchovy,Barataria,2007-04-01,354,9
Bay Anchovy,Barataria,2007-05-01,879,10
Bay Anchovy,Barataria,2007-06-01,1429,10
Bay Anchovy,Barataria,2007-07-01,542,13
Bay Anchovy,Barataria,2007-08-01,171,3
Bay Anchovy,Barataria,2007-09-01,481,13
Bay Anchovy,Barataria,2007-10-01,1317,19
Bay Anchovy,Barataria,2007-11-01,636,13
Bay Anchovy,Barataria,2007-12-01,176,10
Bay Anchovy,Calcasieu,2007-01-01,403,2
Bay Anchovy,Calcasieu,2007-02-01,293,2
Bay Anchovy,Calcasieu,2007-03-01,17,2
Bay Anchovy,Calcasieu,2007-04-01,107,4
Bay Anchovy,Calcasieu,2007-05-01,5,2
Bay Anchovy,Calcasieu,2007-06-01,114,5
Bay Anchovy,Calcasieu,2007-07-01,875,6
Bay Anchovy,Calcasieu,2007-08-01,240,5
Bay Anchovy,Calcasieu,2007-09-01,665,11
Bay Anchovy,Calcasieu,2007-10-01,1165,11
Bay Anchovy,Calcasieu,2007-11-01,306,10
Bay Anchovy,Calcasieu,2007-12-01,303,7
Bay Anchovy,Pontchartrain,2007-01-01,200,9
Bay Anchovy,Pontchartrain,2007-02-01,147,8
Bay Anchovy,Pontchartrain,2007-03-01,556,10
Bay Anchovy,Pontchartrain,2007-04-01,1065,14
Bay Anchovy,Pontchartrain,2007-05-01,750,13
Bay Anchovy,Pontchartrain,2007-06-01,183,13
Bay Anchovy,Pontchartrain,2007-07-01,668,13
Bay Anchovy,Pontchartrain,2007-08-01,703,9
Bay Anchovy,Pontchartrain,2007-09-01,945,24
Bay Anchovy,Pontchartrain,2007-10-01,931,20
Bay Anchovy,Pontchartrain,2007-11-01,502,18
Bay Anchovy,Pontchartrain,2007-12-01,1459,19
Bay Anchovy,Terrebonne,2007-01-01,367,11
Bay Anchovy,Terrebonne,2007-02-01,110,6
Bay Anchovy,Terrebonne,2007-03-01,2701,13
Bay Anchovy,Terrebonne,2007-04-01,5068,13
Bay Anchovy,Terrebonne,2007-05-01,4313,12
Bay Anchovy,Terrebonne,2007-06-01,2636,13
Bay Anchovy,Terrebonne,2007-07-01,1751,13
Bay Anchovy,Terrebonne,2007-08-01,1295,11
Bay Anchovy,Terrebonne,2007-09-01,5691,25
Bay Anchovy,Terrebonne,2007-10-01,2496,25
Bay Anchovy,Terrebonne,2007-11-01,2213,24
Bay Anchovy,Terrebonne,2007-12-01,1448,18
Bay Anchovy,Vermilion-Teche,2007-01-01,656,5
Bay Anchovy,Vermilion-Teche,2007-02-01,587,7
Bay Anchovy,Vermilion-Teche,2007-03-01,645,5
Bay Anchovy,Vermilion-Teche,2007-04-01,1710,7
Bay Anchovy,Vermilion-Teche,2007-05-01,1290,7
Bay Anchovy,Vermilion-Teche,2007-06-01,2655,7
Bay Anchovy,Vermilion-Teche,2007-07-01,755,7
Bay Anchovy,Vermilion-Teche,2007-08-01,943,6
Bay Anchovy,Vermilion-Teche,2007-09-01,940,14
Bay Anchovy,Vermilion-Teche,2007-10-01,2017,14
Bay Anchovy,Vermilion-Teche,2007-11-01,2286,8
Bay Anchovy,Vermilion-Teche,2007-12-01,4556,14
