Year,Species,CPUE
1980,Crevalle jack,0.751748571
1980,Red drum,0.817622235
1980,Spotted seatrout,1.028429446
1981,Crevalle jack,0.740832992
1981,Red drum,0.810907288
1981,Spotted seatrout,1.18593945
1982,Crevalle jack,0.846954614
1982,Red drum,0.695282153
1982,Spotted seatrout,1.30073622
1983,Crevalle jack,0.706928568
1983,Red drum,0.916447777
1983,Spotted seatrout,1.275481618
1984,Crevalle jack,0.648595912
1984,Red drum,0.890327117
1984,Spotted seatrout,1.326766536
1985,Crevalle jack,0.578993147
1985,Red drum,0.682279788
1985,Spotted seatrout,1.155898834
1986,Crevalle jack,0.620670175
1986,Red drum,0.580533703
1986,Spotted seatrout,1.337065257
1987,Crevalle jack,0.61774367
1987,Red drum,0.511515297
1987,Spotted seatrout,1.172588952
1988,Crevalle jack,0.682331044
1988,Red drum,0.45236533
1988,Spotted seatrout,1.094539756
1989,Crevalle jack,0.749279986
1989,Red drum,0.452767712
1989,Spotted seatrout,1.200428797
1990,Crevalle jack,0.831627056
1990,Red drum,0.471442362
1990,Spotted seatrout,1.406748583
1991,Crevalle jack,1.01546677
1991,Red drum,0.56128619
1991,Spotted seatrout,1.394476451
1992,Crevalle jack,0.850715006
1992,Red drum,0.555471592
1992,Spotted seatrout,1.368244691
1993,Crevalle jack,0.672399069
1993,Red drum,0.499509705
1993,Spotted seatrout,1.119814568
1994,Crevalle jack,0.577888332
1994,Red drum,0.463373699
1994,Spotted seatrout,1.124845429
1995,Crevalle jack,0.715736977
1995,Red drum,0.487110139
1995,Spotted seatrout,1.114255638
1996,Crevalle jack,0.576357074
1996,Red drum,0.48489334
1996,Spotted seatrout,1.203268705
1997,Crevalle jack,0.702094848
1997,Red drum,0.457691255
1997,Spotted seatrout,1.446394617
1998,Crevalle jack,0.624102912
1998,Red drum,0.466880686
1998,Spotted seatrout,1.110565199
1999,Crevalle jack,0.743583961
1999,Red drum,0.464471689
1999,Spotted seatrout,1.300154109
2000,Crevalle jack,0.777197354
2000,Red drum,0.443658358
2000,Spotted seatrout,1.42362527
2001,Crevalle jack,0.635386358
2001,Red drum,0.438345676
2001,Spotted seatrout,1.165440736
2002,Crevalle jack,0.605343325
2002,Red drum,0.374190915
2002,Spotted seatrout,0.981038752
2003,Crevalle jack,0.581493036
2003,Red drum,0.436978978
2003,Spotted seatrout,0.886292506
2004,Crevalle jack,0.606838151
2004,Red drum,0.412626642
2004,Spotted seatrout,0.96433803
2005,Crevalle jack,0.553293121
2005,Red drum,0.381198138
2005,Spotted seatrout,1.061231908
2006,Crevalle jack,0.603064672
2006,Red drum,0.422811326
2006,Spotted seatrout,1.045867461
2007,Crevalle jack,0.643992934
2007,Red drum,0.429708369
2007,Spotted seatrout,0.818211473
2008,Crevalle jack,0.625579981
2008,Red drum,0.377783475
2008,Spotted seatrout,0.812063867
2009,Crevalle jack,0.606945964
2009,Red drum,0.391681824
2009,Spotted seatrout,0.801914756
2010,Crevalle jack,0.581471552
2010,Red drum,0.748171188
2010,Spotted seatrout,0.866833868
2011,Crevalle jack,0.650456633
2011,Red drum,0.893804521
2011,Spotted seatrout,0.987934165
2012,Crevalle jack,0.744237454
2012,Red drum,0.690663718
2012,Spotted seatrout,1.19585792
2013,Crevalle jack,0.82318582
2013,Red drum,0.460544634
2013,Spotted seatrout,0.922233026
2014,Crevalle jack,0.608699709
2014,Red drum,0.418151754
2014,Spotted seatrout,0.839914497
2015,Crevalle jack,0.537346946
2015,Red drum,0.37516852
2015,Spotted seatrout,0.825406503
2016,Crevalle jack,0.582747701
2016,Red drum,0.33197872
2016,Spotted seatrout,0.913315704
2017,Crevalle jack,0.587014733
2017,Red drum,0.344613271
2017,Spotted seatrout,0.979951774
