BASIN,YEAR,STATION,TT,HW,SF,HAL,BAT,PEN
RAN,2012,1,0.178125,0.06,0.00375,0.03375,0.00375,0.00375
RAN,2012,2,0.178125,0.105,0.02625,0.01125,0,0
RAN,2012,3,0.321875,0.03,0.0225,0.0075,0,0.00375
RAN,2012,4,0.178125,0.075,0.015,0.00375,0.01125,0.00375
RAN,2012,5,0.19125,0.03,0,0.02625,0.0375,0.01125
RAN,2012,6,0.625,0.00375,0,0.00375,0,0
RAN,2012,7,0.290625,0.03,0.015,0.01875,0.00375,0
RAN,2012,8,0.409375,0.06,0.01125,0.01125,0.03375,0
RAN,2012,9,0.04875,0.056249999999999994,0,0.015,0.09,0
RAN,2012,10,0.290625,0.09,0.01125,0.0225,0,0
RAN,2012,11,0.01875,0.03,0,0.01875,0.234375,0
RAN,2012,12,0.00375,0.01125,0,0,0.219375,0
RAN,2012,13,0,0.01125,0,0,0.20625,0
RAN,2012,14,0.08249999999999999,0.02625,0,0.00375,0.204375,0
RAN,2012,15,0.4375,0.0075,0.01125,0.0075,0.00375,0
RAN,2012,16,0.369375,0.04875,0,0.00375,0.0075,0
RAN,2012,17,0.456875,0.01875,0,0,0.0075,0
RAN,2012,18,0.4375,0.015,0.0075,0,0,0
RAN,2012,19,0.2625,0.075,0,0,0.015,0
RAN,2012,20,0.346875,0.03,0.0225,0,0,0
RAN,2012,21,0.4375,0.01125,0.01875,0.015,0,0
RAN,2012,22,0.178125,0.06,0.015,0.015,0,0.00375
RAN,2012,23,0.2625,0.03,0.03,0.00375,0,0
RAN,2012,24,0.31875,0.075,0.015,0.0075,0,0
RAN,2012,25,0.290625,0.0225,0,0,0.0075,0.00375
RAN,2012,26,0.178125,0.06,0,0,0.01875,0
RAN,2012,27,0.20625,0.045,0.015,0.015,0.0075,0
RAN,2012,28,0.20625,0.105,0,0,0,0.0075
RAN,2012,29,0.290625,0.056249999999999994,0,0.01125,0.0225,0
RAN,2012,30,0.290625,0.045,0,0,0.01125,0
RAN,2013,1,0.234375,0.045,0.01125,0.041249999999999995,0.07125,0
RAN,2013,2,0.15,0.0225,0.015,0.04875,0.02625,0
RAN,2013,3,0.2625,0.075,0.00375,0.0225,0,0
RAN,2013,4,0.40625,0.03,0.01875,0.0075,0,0
RAN,2013,5,0.31875,0.15,0.0075,0.01875,0,0
RAN,2013,6,0.40625,0.02625,0.01125,0.045,0,0
RAN,2013,7,0.375,0.015,0.015,0.00375,0,0
RAN,2013,8,0.375,0.02625,0.00375,0.0075,0,0
RAN,2013,9,0.234375,0.045,0.03,0.015,0,0
RAN,2013,10,0.409375,0.03,0.00375,0,0,0
RAN,2013,11,0.4375,0.015,0,0,0,0
RAN,2013,12,0.40625,0.015,0,0,0.00375,0
RAN,2013,13,0.18562499999999998,0.17625,0,0.00375,0.045,0
RAN,2013,14,0.00375,0.15,0,0.0075,0.4375,0
RAN,2013,15,0,0.09,0,0,0.384375,0
RAN,2013,16,0,0.163125,0,0.00375,0.384375,0
RAN,2013,17,0.4375,0.01875,0,0.00375,0,0
RAN,2013,18,0.375,0.0075,0,0,0.0225,0
RAN,2013,19,0.234375,0.03,0,0,0.076875,0
RAN,2013,20,0.234375,0.0375,0,0,0.14625,0
RAN,2013,21,0.4375,0,0,0,0.0225,0
RAN,2013,22,0.31875,0.02625,0.00375,0,0,0
RAN,2013,23,0.290625,0.075,0.01125,0.03375,0,0.00375
RAN,2013,24,0.38125,0.06,0.01875,0.01125,0,0
RAN,2013,25,0.378125,0.056249999999999994,0.015,0.00375,0,0
RAN,2013,26,0.38125,0.075,0.0375,0,0,0
RAN,2013,27,0.2625,0.02625,0.00375,0.0375,0,0
RAN,2013,28,0.2625,0.12,0.01125,0,0.00375,0
RAN,2013,29,0.44375,0.09,0,0,0.01125,0
RAN,2013,30,0.471875,0.03,0.015,0.02625,0,0
RAN,2014,1,0.31875,0.03,0,0.0075,0.00375,0
RAN,2014,2,0.46875,0.01125,0,0.0075,0.0225,0
RAN,2014,3,0.290625,0.015,0,0.015,0.0075,0.00375
RAN,2014,4,0.31875,0.0225,0.0075,0.01875,0.0075,0
RAN,2014,5,0.346875,0.03,0.00375,0.0225,0.0075,0
RAN,2014,6,0.346875,0.03,0.00375,0.0075,0,0
RAN,2014,7,0.375,0.015,0.01875,0.00375,0.00375,0
RAN,2014,8,0.4375,0.00375,0.01875,0.00375,0.00375,0
RAN,2014,9,0.375,0.02625,0.0075,0.06375,0.01875,0
RAN,2014,10,0.375,0.02625,0.0075,0.01125,0.0075,0
RAN,2014,11,0.31875,0.015,0.01875,0.01875,0.0375,0
RAN,2014,12,0.09937499999999999,0.2475,0,0.02625,0.041249999999999995,0
RAN,2014,13,0.178125,0.170625,0.0075,0.045,0.145625,0
RAN,2014,14,0.01125,0.2625,0.015,0.00375,0.164375,0
RAN,2014,15,0.076875,0.163125,0,0,0.16125,0
RAN,2014,16,0.40625,0.00375,0,0,0.02625,0
RAN,2014,17,0.378125,0.01125,0.0075,0,0.00375,0
RAN,2014,18,0.40625,0.01875,0.01125,0,0.01875,0
RAN,2014,19,0.40625,0.01875,0.01125,0.0075,0.00375,0
RAN,2014,20,0.2475,0.03,0,0,0.09937499999999999,0
RAN,2014,21,0.46875,0.00375,0,0,0.01875,0
RAN,2014,22,0.346875,0.0225,0,0.01875,0.0075,0
RAN,2014,23,0.346875,0.015,0.0075,0.01125,0.0075,0
RAN,2014,24,0.375,0.03,0.015,0,0,0
RAN,2014,25,0.40625,0.02625,0,0.00375,0.00375,0
RAN,2014,26,0.31875,0.06,0.00375,0,0,0
RAN,2014,27,0.31875,0.01875,0.00375,0,0,0
RAN,2014,28,0.178125,0.01125,0,0.0075,0.02625,0
RAN,2014,29,0.234375,0.0075,0.00375,0.01125,0.00375,0
RAN,2014,30,0.346875,0.01875,0,0,0.00375,0
RAN,2015,1,0.18520833333333334,0.01375,0.00375,0.01375,0.02625,0
RAN,2015,2,0.11687499999999999,0.03125,0.00125,0.01,0.06416666666666666,0
RAN,2015,3,0.18104166666666666,0.03375,0,0.0062499999999999995,0.0075,0
RAN,2015,4,0.14625,0.0225,0,0.01375,0.015,0
RAN,2015,5,0.13375,0.01625,0,0.005,0.03,0
RAN,2015,6,0.13,0.021249999999999998,0,0,0.015,0
RAN,2015,7,0.10062499999999999,0.017499999999999998,0.00125,0,0.060625,0
RAN,2015,8,0.078125,0.0075,0,0.00125,0.045,0
RAN,2015,9,0.13458333333333333,0.021249999999999998,0,0.00125,0.045,0
RAN,2015,10,0.017499999999999998,0.11687499999999999,0,0.017499999999999998,0.078125,0
RAN,2015,11,0.01,0.078125,0,0,0.1875,0
RAN,2015,12,0.11770833333333333,0.012499999999999999,0,0.00125,0.09395833333333334,0
RAN,2015,13,0.14791666666666667,0.03,0,0,0.044375,0
RAN,2015,14,0.16791666666666666,0.02,0,0,0.06354166666666666,0
RAN,2015,15,0.12604166666666666,0.01,0.00125,0.0062499999999999995,0.049999999999999996,0
RAN,2015,16,0.07125,0.00375,0.00375,0.01375,0.10729166666666666,0
RAN,2015,17,0.10229166666666667,0.01,0,0,0.06375,0
RAN,2015,18,0.12604166666666666,0.02625,0.0025,0.00125,0.054375,0
RAN,2015,19,0.079375,0.0075,0.008749999999999999,0,0.029375,0
RAN,2015,20,0.123125,0.0075,0.0025,0,0.051875,0
RAN,2015,21,0.17041666666666666,0.01,0,0,0.024999999999999998,0
RAN,2015,22,0.10625,0.0225,0,0.0025,0.02,0
RAN,2015,23,0.12229166666666666,0.0275,0.0025,0,0.0075,0
RAN,2015,24,0.13916666666666666,0.0225,0.00125,0,0.056875,0
RAN,2015,25,0.089375,0.02,0,0.00125,0.01875,0
RAN,2015,26,0.22166666666666668,0.0525,0.00375,0,0.01125,0
RAN,2015,27,0.15979166666666667,0.042499999999999996,0,0.0025,0.00375,0
RAN,2015,28,0.225,0.02,0,0,0.015,0
RAN,2015,29,0.259375,0.02625,0.00375,0,0,0
RAN,2015,30,0.23916666666666667,0.034999999999999996,0.00125,0.00125,0,0
RAN,2016,1,0.07125,0.0525,0,0,0.105,0
RAN,2016,2,0.178125,0.163125,0,0.00375,0.0675,0
RAN,2016,3,0.056249999999999994,0.09,0,0,0.0225,0
RAN,2016,4,0.03,0.12,0,0.01875,0.03375,0
RAN,2016,5,0.01125,0.01125,0,0,0.01875,0
RAN,2016,6,0.06,0.06,0,0.02625,0.07125,0
RAN,2016,7,0,0,0,0,0.0225,0
RAN,2016,8,0,0.0075,0,0,0.02625,0
RAN,2016,9,0.00375,0.0075,0,0,0.02625,0
RAN,2016,10,0,0.01875,0,0,0.02625,0
RAN,2016,11,0,0,0,0,0.01125,0
RAN,2016,12,0,0.0225,0,0,0.045,0
RAN,2016,13,0,0.10124999999999999,0,0,0.06,0
RAN,2016,14,0.0225,0.08625,0,0,0.04875,0
RAN,2016,15,0,0.00375,0,0,0.105,0.046875
RAN,2016,16,0,0.0075,0,0,0.0225,0
RAN,2016,17,0,0,0,0,0.075,0
RAN,2016,18,0.088125,0.0075,0,0,0.2375,0
RAN,2016,19,0,0.00375,0,0,0.4375,0
RAN,2016,20,0.015,0.06,0,0,0.2475,0
RAN,2016,21,0,0.03375,0,0,0.105,0
RAN,2016,22,0,0.045,0,0,0.09,0
RAN,2016,23,0.045,0.105,0,0,0.041249999999999995,0
